username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
aaronjohnreyes0;2017-06-08 02:15;0;0;"#EARLConf2017 #Athletics #Comey #NationalChocolateIceCreamDay #CMTawards @warriors @cavs @KingJames @NBA @ABC Special Forces,Green Beret #45";;@warriors @cavs @KingJames @NBA @ABC;#EARLConf2017 #Athletics #Comey #NationalChocolateIceCreamDay #CMTawards #45;"872623135627001856";https://twitter.com/aaronjohnreyes0/status/872623135627001856
sellorm;2017-06-08 02:00;0;3;"For anyone interested in the @Google paper @earino mentioned in his #EARLConf2017 talk, it's here - https:// research.google.com/pubs/pub43146. html …";;@Google @earino;#EARLConf2017;"872619219208327169";https://twitter.com/sellorm/status/872619219208327169
sellorm;2017-06-08 01:19;1;3;"Absolutely fantastic talk from @earino of @DominoDataLab giving a great intro to working with API's #EARLConf2017 #rstats";;@earino @DominoDataLab;#EARLConf2017 #rstats;"872609072004165632";https://twitter.com/sellorm/status/872609072004165632
hspter;2017-06-08 01:04;1;5;"One followup on containers in this context #EARLConf2017 pic.twitter.com/ihy7l3LBI2";;;#EARLConf2017;"872605189894582272";https://twitter.com/hspter/status/872605189894582272
hspter;2017-06-08 01:02;2;12;"Can't wait for trackr from @groundwalkergmb that helps capture metadata from R objects for discoverability using record() fn #EARLConf2017 pic.twitter.com/ghTcjHkQK0";;@groundwalkergmb;#EARLConf2017;"872604809462857728";https://twitter.com/hspter/status/872604809462857728
hspter;2017-06-08 00:56;0;5;"Don't think about packages in isolation, they're always in cohorts so think of them as such #EARLConf2017 pic.twitter.com/zxVcD3E1Rm";;;#EARLConf2017;"872603244513513472";https://twitter.com/hspter/status/872603244513513472
hspter;2017-06-08 00:50;1;16;"Gonna end up tweeting every slide from this talk bc it's #EARLConf2017 #rstats pic.twitter.com/2AfxiseLov";;;#EARLConf2017 #rstats;"872601609359867904";https://twitter.com/hspter/status/872601609359867904
richatmango;2017-06-08 00:49;3;5;"Seriously awesome talk by @groundwalkergmb on balance of desires around #rstats in commercial world #EARLConf2017";;@groundwalkergmb;#rstats #EARLConf2017;"872601358184046592";https://twitter.com/richatmango/status/872601358184046592
mdancho84;2017-06-08 00:46;3;11;"Thanks @earino for the best explanation on an API that I've ever heard. #rstats #EARLConf2017 pic.twitter.com/UpxUhfU1Jk";;@earino;#rstats #EARLConf2017;"872600765499559936";https://twitter.com/mdancho84/status/872600765499559936
sellorm;2017-06-08 00:44;0;3;"Great to finally get @earino to EARL. And after significant travel issues too! #EARLConf2017 pic.twitter.com/c7PfVT3Xxk";;@earino;#EARLConf2017;"872600164556460033";https://twitter.com/sellorm/status/872600164556460033
aimeegott_R;2017-06-08 00:43;1;1;"Learning about RAPIs in the last talk of the day #EARLConf2017 pic.twitter.com/lPqRMkcXff";;;#EARLConf2017;"872599806568308736";https://twitter.com/aimeegott_R/status/872599806568308736
hspter;2017-06-08 00:42;1;10;"Thoughtful outline of organizational concerns for hoe to build analytical infrastructure #EARLConf2017 pic.twitter.com/NbvnJUqxk8";;;#EARLConf2017;"872599570148073473";https://twitter.com/hspter/status/872599570148073473
hspter;2017-06-08 00:38;1;6;""Your results are data. We're paying lots of money for them. Then this data is an input for a new analysis" - @groundwalkergmb #EARLConf2017 pic.twitter.com/pA5rRRK03b";;@groundwalkergmb;#EARLConf2017;"872598740879593472";https://twitter.com/hspter/status/872598740879593472
hspter;2017-06-08 00:35;2;6;"Saving the best for last.. @groundwalkergmb talking about large, multi-analyst problems at @genentech #EARLConf2017 pic.twitter.com/1k4pPqQn1n";;@groundwalkergmb @genentech;#EARLConf2017;"872597998059962369";https://twitter.com/hspter/status/872597998059962369
hspter;2017-06-08 00:30;16;61;"Great use of Shiny to communicate context for a patient's risk of cancer from Thomas Vaughan at the Hutch #EARLConf2017 pic.twitter.com/yHehcrZE3h";;;#EARLConf2017;"872596718876975104";https://twitter.com/hspter/status/872596718876975104
RLadiesSF;2017-06-08 00:23;3;6;"@CieraReports talking about #Rladies SF at #EARLConf2017 pic.twitter.com/ClKx0ia60M";;@CieraReports;#Rladies #EARLConf2017;"872594920770424832";https://twitter.com/RLadiesSF/status/872594920770424832
